CHAS_NO,CHAS_YES,CRIM,ZN,INDUS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,PRICE
1.0,0.0,-1.333590341630663,0.27629177318295356,-1.2879044427309672,0.3341639277451828,0.4718694026582363,-0.11447156129347648,-0.29783716391856385,-0.9842114278861248,-0.6696873929405294,-1.4763893806941688,0.4392878489350359,24.0
1.0,0.0,-1.333590341630663,-0.4910805344527814,-0.5949095607181609,0.025585760575520772,0.39523500617758467,0.3705473644633074,-0.2971502498321994,-0.8700300367424731,-0.9883871048252342,-0.3117561475581748,0.4392878489350359,21.6
1.0,0.0,-1.333590341630663,-0.4910805344527814,-0.5949095607181609,0.025585760575520772,0.7754212328738046,-0.2596232106075505,-0.2971502498321994,-0.8700300367424731,-0.9883871048252342,-0.3117561475581748,0.394882319104425,34.7
1.0,0.0,-1.333590341630663,-0.4910805344527814,-1.3068307735422413,-0.02360786027761375,0.6823651800044418,-0.8012866824381194,-0.29629260575971317,-0.7558486455988214,-1.1064240351529027,0.10751181637078235,0.41452112836612043,33.4
1.0,0.0,-1.333590341630663,-0.4910805344527814,-1.3068307735422413,-0.02360786027761375,0.7565114467292282,-0.5039028155507481,-0.29629260575971317,-0.7558486455988214,-1.1064240351529027,0.10751181637078235,0.4392878489350359,36.2
1.0,0.0,-1.333590341630663,-0.4910805344527814,-1.3068307735422413,-0.02360786027761375,-2.796821491438608,-0.34459002971822794,-0.29629260575971317,-0.7558486455988214,-1.1064240351529027,0.10751181637078235,0.40895679907530685,28.7
1.0,0.0,-0.44273765374028734,0.04181690140536789,-0.4784398326487818,0.27155386484119337,0.191705992147802,-0.06490758347891494,-0.29668551967731555,-0.5274858633115178,-0.581159695194778,-1.5229747100196094,0.4251042644682565,22.9
1.0,0.0,-0.44273765374028734,0.04181690140536789,-0.4784398326487818,0.27155386484119337,0.27132614433549207,0.9794762347564954,-0.29638008529847376,-0.5274858633115178,-0.581159695194778,-1.5229747100196094,0.4392878489350359,27.1
1.0,0.0,-0.44273765374028734,0.04181690140536789,-0.4784398326487818,0.27155386484119337,0.002110504750865123,1.1175473158113465,-0.2962770207747415,-0.5274858633115178,-0.581159695194778,-1.5229747100196094,0.3272375316474747,16.5
1.0,0.0,-0.44273765374028734,0.04181690140536789,-0.4784398326487818,0.27155386484119337,0.18772498453841752,0.6183672535361167,-0.29587760658702533,-0.5274858633115178,-0.581159695194778,-1.5229747100196094,0.328110367614661,18.9
1.0,0.0,-0.44273765374028734,0.04181690140536789,-0.4784398326487818,0.27155386484119337,0.3733394643259699,0.9157511204234874,-0.2960697952961735,-0.5274858633115178,-0.581159695194778,-1.5229747100196094,0.39150007973157747,15.0
1.0,0.0,-0.44273765374028734,0.04181690140536789,-0.4784398326487818,0.27155386484119337,0.19021311429428284,0.5121587296477699,-0.2961637751050479,-0.5274858633115178,-0.581159695194778,-1.5229747100196094,0.4392878489350359,18.9
1.0,0.0,-0.44273765374028734,0.04181690140536789,-0.4784398326487818,0.27155386484119337,0.13049800015351531,-1.0420260032517055,-0.29677135456942083,-0.5274858633115178,-0.581159695194778,-1.5229747100196094,0.36946097156011964,21.7
1.0,0.0,0.44811503415008835,-0.4910805344527814,-0.4391312994253663,0.3341639277451828,0.16035555722389908,-0.23484122170026975,-0.2973535594853977,-0.6416672544551696,-0.6047670812603116,1.1789743908558972,0.4392878489350359,20.4
1.0,0.0,0.44811503415008835,-0.4910805344527814,-0.4391312994253663,0.3341639277451828,0.10312857283899685,-0.42247628056968234,-0.2975171626693465,-0.6416672544551696,-0.6047670812603116,1.1789743908558972,0.4253224734600529,19.9
1.0,0.0,0.44811503415008835,-0.4910805344527814,-0.4391312994253663,0.3341639277451828,0.15338879390747617,-1.385433563824027,-0.2975171626693465,-0.6416672544551696,-0.6047670812603116,1.1789743908558972,0.3296378305572378,23.1
1.0,0.0,0.44811503415008835,-0.4910805344527814,-0.4391312994253663,0.3341639277451828,-2.7970404468571246,0.469675320092431,-0.29770567050264707,-0.6416672544551696,-0.6047670812603116,1.1789743908558972,0.32854678559825445,17.5
1.0,0.0,0.44811503415008835,-0.4910805344527814,-0.4391312994253663,0.3341639277451828,-0.08497403670442084,-1.1269928223623829,-0.2980670228677691,-0.6416672544551696,-0.6047670812603116,1.1789743908558972,-0.7380587663035959,20.2
1.0,0.0,0.44811503415008835,-0.4910805344527814,-0.4391312994253663,0.3341639277451828,0.04988259606347914,0.03776065627982052,-0.2980670228677691,-0.6416672544551696,-0.6047670812603116,1.1789743908558972,0.37437067387554335,18.2
1.0,0.0,0.44811503415008835,-0.4910805344527814,-0.4391312994253663,0.3341639277451828,-2.797249449756617,1.0502819173487266,-0.2980659264366655,-0.6416672544551696,-0.6047670812603116,1.1789743908558972,0.21747840877377772,13.6
1.0,0.0,0.44811503415008835,-0.4910805344527814,-0.4391312994253663,0.3341639277451828,0.16831757244266807,0.735196629813298,-0.29789801584481,-0.6416672544551696,-0.6047670812603116,1.1789743908558972,0.3916091842274757,19.6
1.0,0.0,0.44811503415008835,-0.4910805344527814,-0.4391312994253663,0.3341639277451828,0.25639736580030015,0.823703733053587,-0.2979257398884279,-0.6416672544551696,-0.6047670812603116,1.1789743908558972,0.4392878489350359,15.2
1.0,0.0,0.44811503415008835,-0.4910805344527814,-0.4391312994253663,0.3341639277451828,0.09267842786436253,1.1175473158113465,-0.2978330914601793,-0.6416672544551696,-0.6047670812603116,1.1789743908558972,0.41353918790303595,14.5
1.0,0.0,0.44811503415008835,-0.4910805344527814,-0.4391312994253663,0.3341639277451828,0.1479149084445725,0.9086705521642642,-0.2975946960116679,-0.6416672544551696,-0.6047670812603116,1.1789743908558972,0.41124799348917107,15.6
1.0,0.0,0.44811503415008835,-0.4910805344527814,-0.4391312994253663,0.3341639277451828,-0.013813525686672884,0.6112866852768934,-0.29755162193260043,-0.6416672544551696,-0.6047670812603116,1.1789743908558972,-0.5806209787223386,13.9
1.0,0.0,0.44811503415008835,-0.4910805344527814,-0.4391312994253663,0.3341639277451828,0.09267842786436253,0.774139755239025,3.3657385671781603,-0.6416672544551696,-0.6047670812603116,1.1789743908558972,0.22086064814662526,16.6
1.0,0.0,0.44811503415008835,-0.4910805344527814,-0.4391312994253663,0.3341639277451828,0.2091229004388592,0.7210354932948516,-0.2975525617306892,-0.6416672544551696,-0.6047670812603116,1.1789743908558972,-0.54832604793644,14.8
1.0,0.0,0.44811503415008835,-0.4910805344527814,-0.4391312994253663,0.3341639277451828,0.4320593265643913,0.9192914045530993,-0.29755154361609304,-0.6416672544551696,-0.6047670812603116,1.1789743908558972,0.341530220610153,18.4
1.0,0.0,0.44811503415008835,-0.4910805344527814,-0.4391312994253663,0.3341639277451828,0.5211343718243695,0.6679312313506782,3.018796439416863,-0.6416672544551696,-0.6047670812603116,1.1789743908558972,0.2574106542725584,21.0
1.0,0.0,0.44811503415008835,-0.4910805344527814,-0.4391312994253663,0.3341639277451828,0.042915832747056265,0.9086705521642642,3.0140974489731436,-0.6416672544551696,-0.6047670812603116,1.1789743908558972,0.038547035500554286,12.7
1.0,0.0,0.44811503415008835,-0.4910805344527814,-0.4391312994253663,0.3341639277451828,0.22156354921818577,1.1175473158113465,2.968673874683854,-0.6416672544551696,-0.6047670812603116,1.1789743908558972,0.21922408070815091,14.5
1.0,0.0,0.44811503415008835,-0.4910805344527814,-0.4391312994253663,0.3341639277451828,-2.7970603518951713,0.4802961724812656,-0.2979154804259591,-0.6416672544551696,-0.6047670812603116,1.1789743908558972,-1.35329901867415,13.2
1.0,0.0,0.44811503415008835,-0.4910805344527814,-0.4391312994253663,0.3341639277451828,0.036944321332979514,0.9405331093307685,-0.2980743063029569,-0.6416672544551696,-0.6047670812603116,1.1789743908558972,0.023272406074790915,13.1
1.0,0.0,-1.333590341630663,-0.4910805344527814,-0.7565113084144246,0.15975018108406946,0.15239354200513006,-0.008263037405129669,-0.29840863947302754,-0.5274858633115178,-0.7700187837190475,0.34043846299798114,0.4392878489350359,18.9
1.0,0.0,-0.44273765374028734,-0.4910805344527814,-0.7565113084144246,0.15975018108406946,0.1066119544972083,-0.24900235821871594,-0.29839485576772595,-0.5274858633115178,-0.7700187837190475,0.34043846299798114,0.22827975386771024,20.0
1.0,0.0,-1.333590341630663,-0.4910805344527814,-0.7565113084144246,0.15975018108406946,-2.7971101144902883,-0.9535189000114164,-0.29795918103708574,-0.5274858633115178,-0.7700187837190475,0.34043846299798114,0.4392878489350359,21.0
